District,Coordination_n,PreventionControl_n,Surveillance_n,CaseManagement_n,WASH_n,ICTInnovation_n,RiskCommunication_n,MentalHealth_n,Logistics_n,HumanResources_n,Coordination,PreventionControl,Surveillance,CaseManagement,WASH,ICTInnovation,RiskCommunication,MentalHealth,Logistics,HumanResources
MUBENDE,3,4,4,4,3,3,4,1,4,4,Clinton Health Access Initiative |  LifeNet International |  World Health Organisation,Clinton Health Access Initiative |  LifeNet International |  UNICEF |  World Health Organisation,Clinton Health Access Initiative |  LifeNet International |  Ministry of Security |  World Health Organisation,Clinton Health Access Initiative |  LifeNet International |  UNICEF |  World Health Organisation,Farm Radio International |  LifeNet International |  UNICEF,Farm Radio International |  LifeNet International |  World Health Organisation,Farm Radio International |  LifeNet International |  UNICEF |  World Health Organisation,World Health Organisation,Clinton Health Access Initiative |  LifeNet International |  UNICEF |  World Health Organisation,Clinton Health Access Initiative |  LifeNet International |  UNICEF |  World Health Organisation
MUKONO,3,4,3,3,3,3,4,1,3,3,LifeNet International |  Street Business School |  World Health Organisation,LifeNet International |  Street Business School |  UNICEF |  World Health Organisation,LifeNet International |  Ministry of Security |  World Health Organisation,LifeNet International |  UNICEF |  World Health Organisation,Farm Radio International |  LifeNet International |  UNICEF,Farm Radio International |  LifeNet International |  World Health Organisation,Farm Radio International |  LifeNet International |  UNICEF |  World Health Organisation,World Health Organisation,LifeNet International |  UNICEF |  World Health Organisation,LifeNet International |  UNICEF |  World Health Organisation
NABILATUK,5,5,4,4,4,4,8,4,5,3,Doctors with Africa CUAMM |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Doctors with Africa CUAMM |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Doctors with Africa CUAMM |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Ministry of Security |  World Health Organisation,Doctors with Africa CUAMM |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  UNICEF |  World Health Organisation,AWO International |  Doctors with Africa CUAMM |  Farm Radio International |  UNICEF,Doctors with Africa CUAMM |  Farm Radio International |  United Nations Population Fund (UNFPA) |  World Health Organisation,AWO International |  Doctors with Africa CUAMM |  Farm Radio International |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Save the Children International |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Save the Children International |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Doctors with Africa CUAMM |  Save the Children International |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Doctors with Africa CUAMM |  UNICEF |  World Health Organisation
NAKAPIRIPIRIT,5,5,4,4,3,4,7,4,5,3,Doctors with Africa CUAMM |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Doctors with Africa CUAMM |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Doctors with Africa CUAMM |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Ministry of Security |  World Health Organisation,Doctors with Africa CUAMM |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  UNICEF |  World Health Organisation,Doctors with Africa CUAMM |  Farm Radio International |  UNICEF,Doctors with Africa CUAMM |  Farm Radio International |  United Nations Population Fund (UNFPA) |  World Health Organisation,Doctors with Africa CUAMM |  Farm Radio International |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Save the Children International |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Save the Children International |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Doctors with Africa CUAMM |  Save the Children International |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Doctors with Africa CUAMM |  UNICEF |  World Health Organisation
NAKASEKE,2,2,3,2,2,3,4,1,3,2,LifeNet International |  World Health Organisation,LifeNet International |  World Health Organisation,LifeNet International |  Ministry of Security |  World Health Organisation,LifeNet International |  World Health Organisation,Farm Radio International |  LifeNet International,Farm Radio International |  LifeNet International |  World Health Organisation,Farm Radio International |  LifeNet International |  UNICEF |  World Health Organisation,World Health Organisation,LifeNet International |  UNICEF |  World Health Organisation,LifeNet International |  World Health Organisation
NAKASONGOLA,2,2,3,3,3,3,4,1,3,3,LifeNet International |  World Health Organisation,LifeNet International |  World Health Organisation,LifeNet International |  Ministry of Security |  World Health Organisation,LifeNet International |  UNICEF |  World Health Organisation,Farm Radio International |  LifeNet International |  UNICEF,Farm Radio International |  LifeNet International |  World Health Organisation,Farm Radio International |  LifeNet International |  UNICEF |  World Health Organisation,World Health Organisation,LifeNet International |  UNICEF |  World Health Organisation,LifeNet International |  UNICEF |  World Health Organisation
NAMAYINGO,1,2,3,2,1,3,3,1,3,1,World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,World Health Organisation
NAMISINDWA,1,2,3,2,1,3,3,1,3,1,World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,World Health Organisation
NAMUTUMBA,2,3,4,2,2,3,4,1,4,2,Food for the Hungry |  World Health Organisation,Food for the Hungry |  United States Agency for International Development |  World Health Organisation,Food for the Hungry |  Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International |  Food for the Hungry,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  Food for the Hungry |  UNICEF |  World Health Organisation,World Health Organisation,Food for the Hungry |  UNICEF |  United States Agency for International Development |  World Health Organisation,Food for the Hungry |  World Health Organisation
NAPAK,8,7,5,5,6,5,10,4,7,4,Doctors with Africa CUAMM |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Tackling Deadly Diseases in Africa Programme (TDDAP) |  UNICEF |  United Nations Population Fund (UNFPA) |  Voluntary Services Overseas (VSO) |  Welthungerhilfe |  World Health Organisation,Doctors with Africa CUAMM |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  UNICEF |  United Nations Population Fund (UNFPA) |  Voluntary Services Overseas (VSO) |  Welthungerhilfe |  World Health Organisation,Doctors with Africa CUAMM |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Ministry of Security |  Voluntary Services Overseas (VSO) |  World Health Organisation,Doctors with Africa CUAMM |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  UNICEF |  Voluntary Services Overseas (VSO) |  World Health Organisation,AWO International |  Doctors with Africa CUAMM |  Farm Radio International |  UNICEF |  Voluntary Services Overseas (VSO) |  Welthungerhilfe,Doctors with Africa CUAMM |  Farm Radio International |  United Nations Population Fund (UNFPA) |  Voluntary Services Overseas (VSO) |  World Health Organisation,AWO International |  Doctors with Africa CUAMM |  Farm Radio International |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Save the Children International |  UNICEF |  United Nations Population Fund (UNFPA) |  Voluntary Services Overseas (VSO) |  Welthungerhilfe |  World Health Organisation,Save the Children International |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Doctors with Africa CUAMM |  Save the Children International |  UNICEF |  United Nations Population Fund (UNFPA) |  Voluntary Services Overseas (VSO) |  Welthungerhilfe |  World Health Organisation,Doctors with Africa CUAMM |  UNICEF |  Voluntary Services Overseas (VSO) |  World Health Organisation
NEBBI,7,6,4,4,4,3,7,3,6,4,AVSI FOUNDATION |  Danish Refugee Council |  Finnish Mission Uganda / Fida International |  Plan International Uganda |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,AVSI FOUNDATION |  Finnish Mission Uganda / Fida International |  Plan International Uganda |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,AVSI FOUNDATION |  Ministry of Security |  Plan International Uganda |  World Health Organisation,AVSI FOUNDATION |  Plan International Uganda |  UNICEF |  World Health Organisation,AVSI FOUNDATION |  Farm Radio International |  Plan International Uganda |  UNICEF,Farm Radio International |  United Nations Population Fund (UNFPA) |  World Health Organisation,AVSI FOUNDATION |  Danish Refugee Council |  Farm Radio International |  Plan International Uganda |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,AVSI FOUNDATION |  Danish Refugee Council |  Plan International Uganda |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Danish Refugee Council |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation
NGORA,1,2,3,2,1,3,3,1,3,2,World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,UNICEF |  World Health Organisation
NTOROKO,6,6,6,6,3,4,8,3,4,3,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Care and Assistance For Forced Migrants (CAFOMI) |  International Rescue Committee (IRC) |  Medical Teams International |  Tackling Deadly Diseases in Africa Programme (TDDAP) |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Care and Assistance For Forced Migrants (CAFOMI) |  International Rescue Committee (IRC) |  Medical Teams International |  Save the Children International |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Care and Assistance For Forced Migrants (CAFOMI) |  International Rescue Committee (IRC) |  Medical Teams International |  Ministry of Security |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Care and Assistance For Forced Migrants (CAFOMI) |  International Rescue Committee (IRC) |  Medical Teams International |  Save the Children International |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Care and Assistance For Forced Migrants (CAFOMI) |  Farm Radio International,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Care and Assistance For Forced Migrants (CAFOMI) |  Farm Radio International |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Care and Assistance For Forced Migrants (CAFOMI) |  Farm Radio International |  International Rescue Committee (IRC) |  Medical Teams International |  Save the Children International |  UNICEF |  World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) |  Save the Children International |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Care and Assistance For Forced Migrants (CAFOMI) |  UNICEF |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Care and Assistance For Forced Migrants (CAFOMI) |  World Health Organisation
NTUNGAMO,2,3,3,3,2,3,3,2,3,3,UNICEF |  World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,UNICEF |  World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation
NWOYA,1,2,0,1,1,0,2,2,3,1,UNICEF,Takataka Plastics |  UNICEF,None,UNICEF,UNICEF,None,Save the Children International |  UNICEF,Save the Children International |  UNICEF,Save the Children International |  Takataka Plastics |  UNICEF,UNICEF
OBONGI,8,9,6,6,6,3,11,7,7,5,AVSI FOUNDATION |  Lutheran World Federation |  Medical Teams International |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,AVSI FOUNDATION |  CARE International  Uganda |  Lutheran World Federation |  Medical Teams International |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,AVSI FOUNDATION |  Lutheran World Federation |  Medical Teams International |  Ministry of Security |  United Nations High Commissioner For Refugees |  World Health Organisation,AVSI FOUNDATION |  Lutheran World Federation |  Medical Teams International |  UNICEF |  United Nations High Commissioner For Refugees |  World Health Organisation,AVSI FOUNDATION |  Farm Radio International |  Lutheran World Federation |  UNICEF |  United Nations High Commissioner For Refugees |  World Vision Uganda,Farm Radio International |  United Nations Population Fund (UNFPA) |  World Health Organisation,AVSI FOUNDATION |  CARE International  Uganda |  Farm Radio International |  Humanity & Inclusion |  Lutheran World Federation |  Medical Teams International |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,Humanity & Inclusion |  Lutheran World Federation |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,AVSI FOUNDATION |  Lutheran World Federation |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,Lutheran World Federation |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation
OMORO,1,2,0,2,2,0,3,3,3,3,UNICEF,Takataka Plastics |  UNICEF,None,Save the Children International |  UNICEF,UNICEF |  World Vision Uganda,None,Save the Children International |  UNICEF |  World Vision Uganda,Save the Children International |  UNICEF |  World Vision Uganda,Takataka Plastics |  UNICEF |  World Vision Uganda,Save the Children International |  UNICEF |  World Vision Uganda
OTUKE,3,4,3,3,2,3,4,3,4,3,UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,UNICEF |  United Nations Population Fund (UNFPA) |  United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,UNICEF |  United Nations Population Fund (UNFPA) |  United States Agency for International Development |  World Health Organisation,UNICEF |  World Health Organisation |  World Vision Uganda
OYAM,4,4,4,4,5,4,6,4,5,3,Doctors with Africa CUAMM |  Street Child of Uganda |  UNICEF |  World Health Organisation,Doctors with Africa CUAMM |  UNICEF |  United States Agency for International Development |  World Health Organisation,Doctors with Africa CUAMM |  Ministry of Security |  United States Agency for International Development |  World Health Organisation,Doctors with Africa CUAMM |  UNICEF |  United States Agency for International Development |  World Health Organisation,Doctors with Africa CUAMM |  Farm Radio International |  Street Child of Uganda |  UNICEF |  World Vision Uganda,Doctors with Africa CUAMM |  Farm Radio International |  United States Agency for International Development |  World Health Organisation,Doctors with Africa CUAMM |  Farm Radio International |  Street Child of Uganda |  UNICEF |  World Health Organisation |  World Vision Uganda,Street Child of Uganda |  UNICEF |  World Health Organisation |  World Vision Uganda,Doctors with Africa CUAMM |  UNICEF |  United States Agency for International Development |  World Health Organisation |  World Vision Uganda,Doctors with Africa CUAMM |  UNICEF |  World Health Organisation
PADER,2,3,0,1,3,0,3,2,3,2,Adventist Development & Relief Agency (ADRA) |  UNICEF,Adventist Development & Relief Agency (ADRA) |  Takataka Plastics |  UNICEF,None,UNICEF,Adventist Development & Relief Agency (ADRA) |  UNICEF |  World Vision Uganda,,Adventist Development & Relief Agency (ADRA) |  UNICEF |  World Vision Uganda,UNICEF |  World Vision Uganda,Takataka Plastics |  UNICEF |  World Vision Uganda,UNICEF |  World Vision Uganda
PAKWACH,5,4,3,3,3,3,6,3,5,4,AVSI FOUNDATION |  Danish Refugee Council |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,AVSI FOUNDATION |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,AVSI FOUNDATION |  Ministry of Security |  World Health Organisation,AVSI FOUNDATION |  UNICEF |  World Health Organisation,AVSI FOUNDATION |  Farm Radio International |  UNICEF,Farm Radio International |  United Nations Population Fund (UNFPA) |  World Health Organisation,AVSI FOUNDATION |  Danish Refugee Council |  Farm Radio International |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,AVSI FOUNDATION |  Danish Refugee Council |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Danish Refugee Council |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation
PALLISA,1,2,3,2,1,3,3,1,3,1,World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,World Health Organisation
RAKAI,3,2,3,2,3,3,5,2,4,3,LifeNet International |  Tackling Deadly Diseases in Africa Programme (TDDAP) |  World Health Organisation,LifeNet International |  World Health Organisation,LifeNet International |  Ministry of Security |  World Health Organisation,LifeNet International |  World Health Organisation,Farm Radio International |  LifeNet International |  World Vision Uganda,Farm Radio International |  LifeNet International |  World Health Organisation,Farm Radio International |  LifeNet International |  UNICEF |  World Health Organisation |  World Vision Uganda,World Health Organisation |  World Vision Uganda,LifeNet International |  UNICEF |  World Health Organisation |  World Vision Uganda,LifeNet International |  World Health Organisation |  World Vision Uganda
RUBANDA,2,3,4,2,2,3,4,1,4,3,Conservation Through Public Health |  World Health Organisation,Conservation Through Public Health |  United States Agency for International Development |  World Health Organisation,Conservation Through Public Health |  Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Conservation Through Public Health |  Farm Radio International,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Conservation Through Public Health |  Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,Conservation Through Public Health |  UNICEF |  United States Agency for International Development |  World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation
RUBIRIZI,1,2,3,2,1,3,3,1,3,3,World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation
RUKIGA,1,2,3,2,1,3,3,1,3,3,World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation
RUKUNGIRI,1,2,3,2,1,3,3,1,3,3,World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation
RWAMPARA,1,2,3,2,1,3,3,1,3,2,World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation
SERERE,2,2,3,2,2,4,4,2,4,2,ChildFund International |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International,ChildFund International |  Farm Radio International |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  UNICEF |  World Health Organisation,ChildFund International |  World Health Organisation,ChildFund International |  UNICEF |  United States Agency for International Development |  World Health Organisation,UNICEF |  World Health Organisation
SHEEMA,1,2,3,2,1,3,3,1,3,2,World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation
SIRONKO,2,3,3,2,2,4,4,2,4,1,ChildFund International |  World Health Organisation,International Rescue Committee (IRC) |  United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International,ChildFund International |  Farm Radio International |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  UNICEF |  World Health Organisation,ChildFund International |  World Health Organisation,ChildFund International |  UNICEF |  United States Agency for International Development |  World Health Organisation,World Health Organisation
SOROTI,3,2,3,2,3,4,6,3,5,3,ChildFund International |  International Rescue Committee (IRC) |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  World Vision Uganda,ChildFund International |  Farm Radio International |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  Finnish Mission Uganda / Fida International |  UNICEF |  World Health Organisation |  World Vision Uganda,ChildFund International |  World Health Organisation |  World Vision Uganda,ChildFund International |  UNICEF |  United States Agency for International Development |  World Health Organisation |  World Vision Uganda,UNICEF |  World Health Organisation |  World Vision Uganda
SSEMBABULE,2,2,3,2,2,3,4,1,3,2,LifeNet International |  World Health Organisation,LifeNet International |  World Health Organisation,LifeNet International |  Ministry of Security |  World Health Organisation,LifeNet International |  World Health Organisation,Farm Radio International |  LifeNet International,Farm Radio International |  LifeNet International |  World Health Organisation,Farm Radio International |  LifeNet International |  UNICEF |  World Health Organisation,World Health Organisation,LifeNet International |  UNICEF |  World Health Organisation,LifeNet International |  World Health Organisation
TORORO,3,3,4,3,3,3,5,1,4,1,Plan International Uganda |  Tackling Deadly Diseases in Africa Programme (TDDAP) |  World Health Organisation,Plan International Uganda |  United States Agency for International Development |  World Health Organisation,Ministry of Security |  Plan International Uganda |  United States Agency for International Development |  World Health Organisation,Plan International Uganda |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  Plan International Uganda |  World Vision Uganda,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  Plan International Uganda |  UNICEF |  World Health Organisation |  World Vision Uganda,World Health Organisation,Plan International Uganda |  UNICEF |  United States Agency for International Development |  World Health Organisation,World Health Organisation
WAKISO,6,6,3,3,5,5,7,5,6,5,ChildFund International |  International Rescue Committee (IRC) |  LifeNet International |  Street Business School |  Tackling Deadly Diseases in Africa Programme (TDDAP) |  World Health Organisation,International Rescue Committee (IRC) |  LifeNet International |  Save the Children International |  Street Business School |  UNICEF |  World Health Organisation,LifeNet International |  Ministry of Security |  World Health Organisation,LifeNet International |  UNICEF |  World Health Organisation,ChildFund International |  Farm Radio International |  International Rescue Committee (IRC) |  LifeNet International |  UNICEF,ChildFund International |  Farm Radio International |  International Rescue Committee (IRC) |  LifeNet International |  World Health Organisation,ChildFund International |  Farm Radio International |  International Rescue Committee (IRC) |  LifeNet International |  Save the Children International |  UNICEF |  World Health Organisation,ChildFund International |  International Rescue Committee (IRC) |  Save the Children International |  UNICEF |  World Health Organisation,ChildFund International |  International Rescue Committee (IRC) |  LifeNet International |  Save the Children International |  UNICEF |  World Health Organisation,International Rescue Committee (IRC) |  LifeNet International |  Save the Children International |  UNICEF |  World Health Organisation
YUMBE,15,13,7,7,12,3,19,10,15,9,Action Against Hunger |  AVSI FOUNDATION |  CARE International |  Dan Church Aid (DCA) |  Finnish Mission Uganda / Fida International |  International Rescue Committee (IRC) |  International Rescue Committee (IRC) |  Norwegian Refugee Council (NRC) |  Tackling Deadly Diseases in Africa Programme (TDDAP) |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  Welthungerhilfe |  World Health Organisation |  World Vision Uganda,AVSI FOUNDATION |  CARE International  Uganda |  Catholic Relief Services |  Finnish Mission Uganda / Fida International |  International Rescue Committee (IRC) |  International Rescue Committee (IRC) |  Save the Children International |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  Welthungerhilfe |  World Health Organisation |  World Vision Uganda,AVSI FOUNDATION |  Finnish Mission Uganda / Fida International |  International Rescue Committee (IRC) |  International Rescue Committee (IRC) |  Ministry of Security |  United Nations High Commissioner For Refugees |  World Health Organisation,AVSI FOUNDATION |  International Rescue Committee (IRC) |  International Rescue Committee (IRC) |  Save the Children International |  UNICEF |  United Nations High Commissioner For Refugees |  World Health Organisation,AVSI FOUNDATION |  CARE International |  Catholic Relief Services |  Farm Radio International |  Finnish Mission Uganda / Fida International |  International Rescue Committee (IRC) |  Malteser International |  Norwegian Refugee Council (NRC) |  UNICEF |  United Nations High Commissioner For Refugees |  Welthungerhilfe |  World Vision Uganda,Farm Radio International |  United Nations Population Fund (UNFPA) |  World Health Organisation,AVSI FOUNDATION |  CARE International |  CARE International  Uganda |  Dan Church Aid (DCA) |  Danish Refugee Council |  Farm Radio International |  Finnish Mission Uganda / Fida International |  Humanity & Inclusion |  International Rescue Committee (IRC) |  International Rescue Committee (IRC) |  Mercy Corps |  Norwegian Refugee Council (NRC) |  Save the Children International |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  Welthungerhilfe |  World Health Organisation |  World Vision Uganda,Finnish Mission Uganda / Fida International |  Humanity & Inclusion |  International Rescue Committee (IRC) |  Norwegian Refugee Council (NRC) |  Save the Children International |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,Action Against Hunger |  AVSI FOUNDATION |  CARE International |  Dan Church Aid (DCA) |  Danish Refugee Council |  Finnish Mission Uganda / Fida International |  International Rescue Committee (IRC) |  Norwegian Refugee Council (NRC) |  Save the Children International |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  Welthungerhilfe |  World Health Organisation |  World Vision Uganda,CARE International |  Catholic Relief Services |  Danish Refugee Council |  International Rescue Committee (IRC) |  International Rescue Committee (IRC) |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation
