District,Coordination_n,PreventionControl_n,Surveillance_n,RiskCommunication_n,MentalHealth_n,ICTInnovation_n,WASH_n,Logistics_n,HumanResources_n,CaseManagement_n,Coordination,PreventionControl,Surveillance,CaseManagement,RiskCommunication,MentalHealth,ICTInnovation,WASH,Logistics,HumanResources
KABAROLE,31,27,23,22,11,10,7,28,27,29,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | Makerere University Walter Reed Project | Ministry of Security | Welthungerhilfe | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | Ministry of Security | Welthungerhilfe | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | Ministry of Security | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | Makerere University Walter Reed Project | Ministry of Security | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Broederlijk Delen | Farm Radio International | Save the Children International | UNICEF | Welthungerhilfe | World Health Organisation,World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | Welthungerhilfe,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | Ministry of Security | UNICEF | Welthungerhilfe | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | Ministry of Security | World Health Organisation
KAMWENGE,5,4,2,3,16,10,11,2,2,4,Adventist Development & Relief Agency (ADRA) | Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | International Rescue Committee (IRC) | Lutheran World Federation | Medical Teams International | Ministry of Security | UNICEF | United Nations High Commissioner For Refugees | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | International Rescue Committee (IRC) | Lutheran World Federation | Medical Teams International | Ministry of Security | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | International Rescue Committee (IRC) | Medical Teams International | Ministry of Security | United Nations High Commissioner For Refugees | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | International Rescue Committee (IRC) | Lutheran World Federation | Medical Teams International | Ministry of Security | UNICEF | United Nations High Commissioner For Refugees | World Health Organisation,Adventist Development & Relief Agency (ADRA) | Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | International Rescue Committee (IRC) | Lutheran World Federation | Medical Teams International | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | World Health Organisation | World Vision Uganda,Lutheran World Federation | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | World Health Organisation | World Vision Uganda,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | World Health Organisation,Adventist Development & Relief Agency (ADRA) | Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | Lutheran World Federation | UNICEF | United Nations High Commissioner For Refugees | World Vision Uganda,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | Lutheran World Federation | Ministry of Security | UNICEF | United Nations High Commissioner For Refugees | World Health Organisation | World Vision Uganda,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | Lutheran World Federation | Ministry of Security | UNICEF | United Nations High Commissioner For Refugees | World Health Organisation | World Vision Uganda
KASESE,7,5,3,2,14,11,9,3,3,5,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | International Rescue Committee (IRC) | Makerere University Walter Reed Project | Ministry of Security | Tackling Deadly Diseases in Africa Programme (TDDAP) | UNICEF | United Nations Population Fund (UNFPA) | Welthungerhilfe | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | International Rescue Committee (IRC) | Ministry of Security | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | Welthungerhilfe | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | International Rescue Committee (IRC) | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | International Rescue Committee (IRC) | Ministry of Security | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | International Rescue Committee (IRC) | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | Welthungerhilfe | World Health Organisation,Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | United Nations Population Fund (UNFPA) | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | International Rescue Committee (IRC) | UNICEF | Welthungerhilfe,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | International Rescue Committee (IRC) | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | Welthungerhilfe | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | International Rescue Committee (IRC) | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | Welthungerhilfe | World Health Organisation
KITAGWENDA,29,26,23,19,11,10,4,27,27,28,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | Ministry of Security | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | Ministry of Security | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | Ministry of Security | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | Ministry of Security | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | UNICEF | World Health Organisation,World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | Ministry of Security | UNICEF | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | Ministry of Security | World Health Organisation
KYEGEGWA,13,9,7,8,2,12,12,7,6,8,Adventist Development & Relief Agency (ADRA) | Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | CARE International | Danish Refugee Council (DRC) | Farm Radio International | International Rescue Committee (IRC) | Medical Teams International | Ministry of Security | Oxfam | Street Child of Uganda | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | CARE International | Danish Refugee Council (DRC) | Farm Radio International | International Rescue Committee (IRC) | Medical Teams International | Ministry of Security | Oxfam | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Danish Refugee Council (DRC) | Farm Radio International | International Rescue Committee (IRC) | Medical Teams International | Ministry of Security | Oxfam | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Danish Refugee Council (DRC) | Farm Radio International | International Rescue Committee (IRC) | Medical Teams International | Ministry of Security | Oxfam | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation,Adventist Development & Relief Agency (ADRA) | Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | CARE International | Danish Refugee Council (DRC) | Farm Radio International | Humanity & Inclusion | International Rescue Committee (IRC) | Medical Teams International | Oxfam | Save the Children International | Street Child of Uganda | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation,CARE International | Humanity & Inclusion | International Rescue Committee (IRC) | Save the Children International | Street Child of Uganda | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | CARE International | Farm Radio International | United Nations Population Fund (UNFPA) | World Health Organisation,Adventist Development & Relief Agency (ADRA) | Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | International Rescue Committee (IRC) | Oxfam | Street Child of Uganda | UNICEF | United Nations High Commissioner For Refugees,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Danish Refugee Council (DRC) | Farm Radio International | Humanity & Inclusion | International Rescue Committee (IRC) | Ministry of Security | Oxfam | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Danish Refugee Council (DRC) | Farm Radio International | Humanity & Inclusion | International Rescue Committee (IRC) | Ministry of Security | Oxfam | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation
KYENJOJO,29,26,23,19,11,10,4,27,27,28,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | Ministry of Security | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | Ministry of Security | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | Ministry of Security | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | Ministry of Security | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | UNICEF | World Health Organisation,World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | Ministry of Security | UNICEF | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | Ministry of Security | World Health Organisation
NTOROKO,4,3,3,2,14,11,8,1,29,3,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Care and Assistance For Forced Migrants (CAFOMI) | Farm Radio International | International Rescue Committee (IRC) | Malteser International | Medical Teams International | Ministry of Security | Tackling Deadly Diseases in Africa Programme (TDDAP) | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Care and Assistance For Forced Migrants (CAFOMI) | Farm Radio International | International Rescue Committee (IRC) | Malteser International | Medical Teams International | Ministry of Security | Save the Children International | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Care and Assistance For Forced Migrants (CAFOMI) | Farm Radio International | International Rescue Committee (IRC) | Malteser International | Medical Teams International | Ministry of Security | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Care and Assistance For Forced Migrants (CAFOMI) | Farm Radio International | International Rescue Committee (IRC) | Medical Teams International | Ministry of Security | Save the Children International | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Care and Assistance For Forced Migrants (CAFOMI) | Farm Radio International | International Rescue Committee (IRC) | Malteser International | Medical Teams International | Save the Children International | UNICEF | World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) | Malteser International | Save the Children International | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Care and Assistance For Forced Migrants (CAFOMI) | Farm Radio International | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Care and Assistance For Forced Migrants (CAFOMI) | Farm Radio International | Malteser International,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Care and Assistance For Forced Migrants (CAFOMI) | Farm Radio International | Malteser International | Ministry of Security | UNICEF | World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Care and Assistance For Forced Migrants (CAFOMI) | Farm Radio International | Malteser International | Ministry of Security | World Health Organisation
ADJUMANI,25,23,20,16,9,5,3,23,23,24,Action Against Hunger | AVSI Foundation | Ayuda en Accion Uganda | CARE International  | Danish Refugee Council (DRC) | Farm Radio International | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Jesuit Regufee Service (JRS) | Lutheran World Federation | Medical Teams International | Ministry of Security | Mission Aviation Fellowship (MAF) | Norwegian Refugee Council (NRC) | Self Help Africa | Tutapona | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation | World Vision Uganda,Action Against Hunger | AVSI Foundation | Ayuda en Accion Uganda | CARE International  | Danish Refugee Council (DRC) | Farm Radio International | Food for the Hungry | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Jesuit Regufee Service (JRS) | Lutheran World Federation | Medical Teams International | Ministry of Security | Mission Aviation Fellowship (MAF) | Norwegian Refugee Council (NRC) | Save the Children International | Self Help Africa | Tutapona | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation | World Vision Uganda,Action Against Hunger | AVSI Foundation | Ayuda en Accion Uganda | CARE International  | Danish Refugee Council (DRC) | Farm Radio International | Food for the Hungry | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Jesuit Regufee Service (JRS) | Lutheran World Federation | Medical Teams International | Ministry of Security | Mission Aviation Fellowship (MAF) | Norwegian Refugee Council (NRC) | Self Help Africa | Tutapona | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation | World Vision Uganda,Action Against Hunger | AVSI Foundation | Ayuda en Accion Uganda | CARE International  | Danish Refugee Council (DRC) | Farm Radio International | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Jesuit Regufee Service (JRS) | Lutheran World Federation | Medical Teams International | Ministry of Security | Mission Aviation Fellowship (MAF) | Norwegian Refugee Council (NRC) | Self Help Africa | Tutapona | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation | World Vision Uganda,Action Against Hunger | AVSI Foundation | Ayuda en Accion Uganda | CARE International  | Danish Refugee Council (DRC) | Farm Radio International | Food for the Hungry | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Lutheran World Federation | Medical Teams International | Norwegian Refugee Council (NRC) | Save the Children International | Self Help Africa | Tutapona | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation | World Vision Uganda,Ayuda en Accion Uganda | Jesuit Regufee Service (JRS) | Lutheran World Federation | Norwegian Refugee Council (NRC) | Tutapona | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda,Farm Radio International | Infectious Diseases Institute | Makerere University | Tutapona | United Nations Population Fund (UNFPA) | World Health Organisation,AVSI Foundation | CARE International  | Farm Radio International | Food for the Hungry | Lutheran World Federation | Norwegian Refugee Council (NRC) | Self Help Africa | UNICEF | United Nations High Commissioner For Refugees | Womena Uganda | World Vision Uganda,Action Against Hunger | AVSI Foundation | Ayuda en Accion Uganda | CARE International  | Danish Refugee Council (DRC) | Farm Radio International | Food for the Hungry | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Jesuit Regufee Service (JRS) | Lutheran World Federation | Ministry of Security | Mission Aviation Fellowship (MAF) | Norwegian Refugee Council (NRC) | Self Help Africa | Tutapona | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation | World Vision Uganda,Action Against Hunger | AVSI Foundation | Ayuda en Accion Uganda | CARE International  | Danish Refugee Council (DRC) | Farm Radio International | Food for the Hungry | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Jesuit Regufee Service (JRS) | Lutheran World Federation | Ministry of Security | Mission Aviation Fellowship (MAF) | Norwegian Refugee Council (NRC) | Self Help Africa | Tutapona | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation | World Vision Uganda
ARUA,26,24,21,18,10,6,5,25,25,25,Amref Health Africa in Uganda | AVSI Foundation | CARE International  | Dan Church Aid (DCA) | Danish Refugee Council (DRC) | Farm Radio International | Humanity & Inclusion | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Malteser International | Ministry of Security | Mission Aviation Fellowship (MAF) | Norwegian Refugee Council (NRC) | Oxfam | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Welthungerhilfe | World Health Organisation | World Vision Uganda | ZOA,Amref Health Africa in Uganda | AVSI Foundation | CARE International  | Cordaid | Dan Church Aid (DCA) | Danish Refugee Council (DRC) | Farm Radio International | Humanity & Inclusion | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Malteser International | Ministry of Security | Mission Aviation Fellowship (MAF) | Norwegian Refugee Council (NRC) | Oxfam | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Welthungerhilfe | World Health Organisation | World Vision Uganda | ZOA,Amref Health Africa in Uganda | AVSI Foundation | CARE International  | Cordaid | Dan Church Aid (DCA) | Danish Refugee Council (DRC) | Farm Radio International | Humanity & Inclusion | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Malteser International | Ministry of Security | Mission Aviation Fellowship (MAF) | Norwegian Refugee Council (NRC) | Oxfam | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda | ZOA,Amref Health Africa in Uganda | AVSI Foundation | CARE International  | Dan Church Aid (DCA) | Danish Refugee Council (DRC) | Farm Radio International | Humanity & Inclusion | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Malteser International | Ministry of Security | Mission Aviation Fellowship (MAF) | Norwegian Refugee Council (NRC) | Oxfam | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda | ZOA,Amref Health Africa in Uganda | AVSI Foundation | CARE International | CARE International  | Cordaid | Dan Church Aid (DCA) | Danish Refugee Council (DRC) | Farm Radio International | Humanity & Inclusion | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Norwegian Refugee Council (NRC) | Oxfam | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Welthungerhilfe | World Health Organisation | World Vision Uganda | ZOA,CARE International | CARE International  | Cordaid | Danish Refugee Council (DRC) | Humanity & Inclusion | International Rescue Committee (IRC) | Norwegian Refugee Council (NRC) | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda,Danish Refugee Council (DRC) | Farm Radio International | Infectious Diseases Institute | Makerere University | United Nations Population Fund (UNFPA) | World Health Organisation,AVSI Foundation | CARE International | CARE International  | Cordaid | Danish Refugee Council (DRC) | Farm Radio International | International Rescue Committee (IRC) | Malteser International | Norwegian Refugee Council (NRC) | Oxfam | UNICEF | United Nations High Commissioner For Refugees | Welthungerhilfe | World Vision Uganda | ZOA,Amref Health Africa in Uganda | AVSI Foundation | CARE International | CARE International  | Cordaid | Dan Church Aid (DCA) | Danish Refugee Council (DRC) | Farm Radio International | Humanity & Inclusion | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Malteser International | Ministry of Security | Mission Aviation Fellowship (MAF) | Norwegian Refugee Council (NRC) | Oxfam | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Welthungerhilfe | World Health Organisation | World Vision Uganda | ZOA,Amref Health Africa in Uganda | AVSI Foundation | CARE International | CARE International  | Cordaid | Dan Church Aid (DCA) | Danish Refugee Council (DRC) | Farm Radio International | Humanity & Inclusion | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Malteser International | Ministry of Security | Mission Aviation Fellowship (MAF) | Norwegian Refugee Council (NRC) | Oxfam | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Welthungerhilfe | World Health Organisation | World Vision Uganda | ZOA
KOBOKO,16,9,8,5,1,2,10,14,14,12,Action Against Hunger | AVSI Foundation | Dan Church Aid (DCA) | Danish Refugee Council (DRC) | Farm Radio International | Infectious Diseases Institute | Makerere University | Ministry of Security | Tackling Deadly Diseases in Africa Programme (TDDAP) | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda,AVSI Foundation | Farm Radio International | Infectious Diseases Institute | Makerere University | Ministry of Security | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda,AVSI Foundation | Farm Radio International | Infectious Diseases Institute | Makerere University | Ministry of Security | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda,AVSI Foundation | Danish Refugee Council (DRC) | Farm Radio International | Infectious Diseases Institute | Makerere University | Ministry of Security | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda,AVSI Foundation | Dan Church Aid (DCA) | Danish Refugee Council (DRC) | Farm Radio International | Infectious Diseases Institute | Makerere University | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda,Danish Refugee Council (DRC) | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda,Danish Refugee Council (DRC) | Farm Radio International | Infectious Diseases Institute | Makerere University | United Nations Population Fund (UNFPA) | World Health Organisation,AVSI Foundation | Danish Refugee Council (DRC) | Farm Radio International | UNICEF | United Nations High Commissioner For Refugees | World Vision Uganda,Action Against Hunger | AVSI Foundation | Dan Church Aid (DCA) | Danish Refugee Council (DRC) | Farm Radio International | Infectious Diseases Institute | Makerere University | Ministry of Security | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda,Action Against Hunger | AVSI Foundation | Dan Church Aid (DCA) | Danish Refugee Council (DRC) | Farm Radio International | Infectious Diseases Institute | Makerere University | Ministry of Security | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda
MADIOKOLLO,22,19,17,13,5,6,12,20,20,20,AVSI Foundation | CARE International  | Dan Church Aid (DCA) | Danish Refugee Council (DRC) | Farm Radio International | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Malteser International | Ministry of Security | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | World Health Organisation,AVSI Foundation | CARE International  | Farm Radio International | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Malteser International | Ministry of Security | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | World Health Organisation,AVSI Foundation | CARE International  | Farm Radio International | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Malteser International | Ministry of Security | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | World Health Organisation,AVSI Foundation | CARE International  | Farm Radio International | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Malteser International | Ministry of Security | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | World Health Organisation,AVSI Foundation | CARE International  | Dan Church Aid (DCA) | Danish Refugee Council (DRC) | Farm Radio International | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | World Health Organisation,UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Infectious Diseases Institute | Makerere University | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | World Health Organisation,AVSI Foundation | Farm Radio International | International Rescue Committee (IRC) | Malteser International | UNICEF | United Nations High Commissioner For Refugees | Voluntary Services Overseas (VSO),AVSI Foundation | CARE International | CARE International  | Dan Church Aid (DCA) | Danish Refugee Council (DRC) | Farm Radio International | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Malteser International | Ministry of Security | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | World Health Organisation,AVSI Foundation | CARE International  | Dan Church Aid (DCA) | Danish Refugee Council (DRC) | Farm Radio International | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Malteser International | Ministry of Security | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | World Health Organisation
MARACHA,8,7,6,23,15,14,7,7,6,8,AVSI Foundation | Farm Radio International | Infectious Diseases Institute | Makerere University | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,AVSI Foundation | Farm Radio International | Infectious Diseases Institute | Makerere University | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,AVSI Foundation | Farm Radio International | Infectious Diseases Institute | Makerere University | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,AVSI Foundation | Farm Radio International | Infectious Diseases Institute | Makerere University | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,AVSI Foundation | Farm Radio International | Infectious Diseases Institute | Makerere University | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Infectious Diseases Institute | Makerere University | United Nations Population Fund (UNFPA) | World Health Organisation,AVSI Foundation | Farm Radio International | UNICEF,AVSI Foundation | Farm Radio International | Infectious Diseases Institute | Makerere University | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,AVSI Foundation | Farm Radio International | Infectious Diseases Institute | Makerere University | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation
