"District","Coordination_n","PreventionControl_n","Surveillance_n","CaseManagement_n","RiskCommunication_n","MentalHealth_n","ICTInnovation_n","WASH_n","Logistics_n","HumanResources_n","Laboratory_n","Coordination","PreventionControl","Surveillance","CaseManagement","RiskCommunication","MentalHealth","ICTInnovation","WASH","Logistics","HumanResources","Laboratory"
"WAKISO",8,8,4,3,8,6,6,6,9,6,0,"BRAC Uganda | ChildFund International | LifeNet International | Living Goods | Ministry of Health | Street Business School | Tackling Deadly Diseases in Africa Programme (TDDAP) | World Health Organisation","BRAC Uganda | LifeNet International | Living Goods | Save the Children International | Street Business School | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","BRAC Uganda | LifeNet International | Ministry of Security | World Health Organisation","LifeNet International | UNICEF | World Health Organisation","BRAC Uganda | ChildFund International | Farm Radio International | LifeNet International | Living Goods | Save the Children International | UNICEF | World Health Organisation","BRAC Uganda | ChildFund International | Living Goods | Save the Children International | UNICEF | World Health Organisation","BRAC Uganda | ChildFund International | Farm Radio International | LifeNet International | Living Goods | World Health Organisation","BRAC Uganda | ChildFund International | Farm Radio International | LifeNet International | Living Goods | UNICEF","BRAC Uganda | ChildFund International | LifeNet International | Living Goods | MapUganda | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","BRAC Uganda | LifeNet International | Living Goods | Save the Children International | UNICEF | World Health Organisation",
"AMURIA",7,5,4,2,9,5,5,6,9,4,0,"ChildFund International | Finnish Mission Uganda / Fida International | Ministry of Health | Trocaire | United Nations Population Fund (UNFPA) | Welthungerhilfe | World Health Organisation","Finnish Mission Uganda / Fida International | United Nations Population Fund (UNFPA) | United States Agency for International Development | Welthungerhilfe | World Health Organisation","Finnish Mission Uganda / Fida International | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | Finnish Mission Uganda / Fida International | Trocaire | UNICEF | United Nations Population Fund (UNFPA) | Welthungerhilfe | World Health Organisation | World Vision Uganda","ChildFund International | Finnish Mission Uganda / Fida International | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","ChildFund International | Farm Radio International | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | Finnish Mission Uganda / Fida International | Trocaire | Welthungerhilfe | World Vision Uganda","ChildFund International | Finnish Mission Uganda / Fida International | Trocaire | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | Welthungerhilfe | World Health Organisation | World Vision Uganda","Trocaire | UNICEF | World Health Organisation | World Vision Uganda",
"BUKEDEA",4,2,3,2,5,2,3,3,4,3,0,"Ministry of Health | Street Child of Uganda | Trocaire | World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | Street Child of Uganda | Trocaire | UNICEF | World Health Organisation","Street Child of Uganda | World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International | Street Child of Uganda | Trocaire","Trocaire | UNICEF | United States Agency for International Development | World Health Organisation","Trocaire | UNICEF | World Health Organisation",
"KABERAMAIDO",4,3,3,2,5,3,5,2,5,2,0,"ChildFund International | Ministry of Health | United Nations Population Fund (UNFPA) | World Health Organisation","United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","ChildFund International | United Nations Population Fund (UNFPA) | World Health Organisation","ChildFund International | Farm Radio International | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International","ChildFund International | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","UNICEF | World Health Organisation",
"KALAKI",3,2,3,2,4,1,3,2,4,3,0,"Ministry of Health | Trocaire | World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | Trocaire | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International | Trocaire","Trocaire | UNICEF | United States Agency for International Development | World Health Organisation","Trocaire | UNICEF | World Health Organisation",
"KAPELEBYONG",3,3,3,2,6,3,4,4,6,3,0,"ChildFund International | Ministry of Health | World Health Organisation","Self Help Africa | United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | Self Help Africa | UNICEF | World Health Organisation | World Vision Uganda","ChildFund International | World Health Organisation | World Vision Uganda","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | Self Help Africa | World Vision Uganda","ChildFund International | Self Help Africa | UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda","UNICEF | World Health Organisation | World Vision Uganda",
"KATAKWI",5,3,3,2,6,2,4,4,6,3,0,"ChildFund International | Ministry of Health | Trocaire | Welthungerhilfe | World Health Organisation","United States Agency for International Development | Welthungerhilfe | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | Trocaire | UNICEF | Welthungerhilfe | World Health Organisation","ChildFund International | World Health Organisation","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | Trocaire | Welthungerhilfe","ChildFund International | Trocaire | UNICEF | United States Agency for International Development | Welthungerhilfe | World Health Organisation","Trocaire | UNICEF | World Health Organisation",
"KUMI",2,2,4,2,3,1,3,1,4,2,0,"Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","BRAC Uganda | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","BRAC Uganda | UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | World Health Organisation",
"NGORA",2,2,4,2,3,1,3,1,4,2,0,"Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","BRAC Uganda | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","BRAC Uganda | UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | World Health Organisation",
"SERERE",3,2,4,2,4,2,4,2,5,2,0,"ChildFund International | Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","BRAC Uganda | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF | World Health Organisation","ChildFund International | World Health Organisation","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International","BRAC Uganda | ChildFund International | UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | World Health Organisation",
"SOROTI",4,2,4,2,7,3,4,3,6,3,0,"ChildFund International | Living Goods | Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","BRAC Uganda | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","BRAC Uganda | ChildFund International | Farm Radio International | Finnish Mission Uganda / Fida International | UNICEF | World Health Organisation | World Vision Uganda","ChildFund International | World Health Organisation | World Vision Uganda","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | World Vision Uganda","BRAC Uganda | ChildFund International | UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda","UNICEF | World Health Organisation | World Vision Uganda",
"BUNDIBUGYO",5,4,5,4,7,4,4,4,6,4,0,"Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Care and Assistance For Forced Migrants (CAFOMI) | Ministry of Health | Tackling Deadly Diseases in Africa Programme (TDDAP) | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Care and Assistance For Forced Migrants (CAFOMI) | Save the Children International | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | BRAC Uganda | Care and Assistance For Forced Migrants (CAFOMI) | Ministry of Security | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Care and Assistance For Forced Migrants (CAFOMI) | Save the Children International | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Care and Assistance For Forced Migrants (CAFOMI) | Farm Radio International | Save the Children International | UNICEF | World Health Organisation | World Vision Uganda","Care and Assistance For Forced Migrants (CAFOMI) | Save the Children International | World Health Organisation | World Vision Uganda","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Care and Assistance For Forced Migrants (CAFOMI) | Farm Radio International | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Care and Assistance For Forced Migrants (CAFOMI) | Farm Radio International | World Vision Uganda","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | BRAC Uganda | Care and Assistance For Forced Migrants (CAFOMI) | UNICEF | World Health Organisation | World Vision Uganda","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Care and Assistance For Forced Migrants (CAFOMI) | World Health Organisation | World Vision Uganda",
"BUNYANGABU",3,2,4,2,4,1,3,2,4,2,0,"Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Ministry of Health | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | BRAC Uganda | Ministry of Security | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | BRAC Uganda | UNICEF | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | World Health Organisation",
"KABAROLE",5,3,4,3,7,1,3,3,5,2,0,"Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Makerere University Walter Reed Project | Ministry of Health | Welthungerhilfe | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Welthungerhilfe | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | BRAC Uganda | Ministry of Security | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Makerere University Walter Reed Project | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Broederlijk Delen | Farm Radio International | Save the Children International | UNICEF | Welthungerhilfe | World Health Organisation","World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | Welthungerhilfe","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | BRAC Uganda | UNICEF | Welthungerhilfe | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | World Health Organisation",
"KAMWENGE",9,8,7,7,11,6,3,7,7,6,0,"Adventist Development & Relief Agency (ADRA) | Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | International Rescue Committee (IRC) | Lutheran World Federation | Medical Teams International | Ministry of Health | UNICEF | United Nations High Commissioner For Refugees | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | International Rescue Committee (IRC) | Lutheran World Federation | Medical Teams International | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | BRAC Uganda | International Rescue Committee (IRC) | Medical Teams International | Ministry of Security | United Nations High Commissioner For Refugees | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | International Rescue Committee (IRC) | Lutheran World Federation | Medical Teams International | UNICEF | United Nations High Commissioner For Refugees | World Health Organisation","Adventist Development & Relief Agency (ADRA) | Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | International Rescue Committee (IRC) | Lutheran World Federation | Medical Teams International | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | World Health Organisation | World Vision Uganda","Lutheran World Federation | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | World Health Organisation | World Vision Uganda","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | World Health Organisation","Adventist Development & Relief Agency (ADRA) | Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | Lutheran World Federation | UNICEF | United Nations High Commissioner For Refugees | World Vision Uganda","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | BRAC Uganda | Lutheran World Federation | UNICEF | United Nations High Commissioner For Refugees | World Health Organisation | World Vision Uganda","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Lutheran World Federation | UNICEF | United Nations High Commissioner For Refugees | World Health Organisation | World Vision Uganda",
"KASESE",9,7,5,6,8,4,4,5,7,4,0,"Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | International Rescue Committee (IRC) | Makerere University Walter Reed Project | Ministry of Health | Tackling Deadly Diseases in Africa Programme (TDDAP) | UNICEF | United Nations Population Fund (UNFPA) | Welthungerhilfe | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | International Rescue Committee (IRC) | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | Welthungerhilfe | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | BRAC Uganda | International Rescue Committee (IRC) | Ministry of Security | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | International Rescue Committee (IRC) | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | International Rescue Committee (IRC) | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | Welthungerhilfe | World Health Organisation","Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | United Nations Population Fund (UNFPA) | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | International Rescue Committee (IRC) | UNICEF | Welthungerhilfe","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | BRAC Uganda | International Rescue Committee (IRC) | UNICEF | United Nations Population Fund (UNFPA) | Welthungerhilfe | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | International Rescue Committee (IRC) | UNICEF | World Health Organisation",
"KITAGWENDA",3,2,3,2,4,1,3,2,3,2,0,"Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Ministry of Health | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Ministry of Security | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | UNICEF | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | World Health Organisation",
"KYEGEGWA",11,9,7,7,15,9,5,8,9,5,0,"Adventist Development & Relief Agency (ADRA) | Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | CARE International | International Rescue Committee (IRC) | Medical Teams International | Ministry of Health | Street Child of Uganda | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | CARE International | International Rescue Committee (IRC) | Medical Teams International | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | BRAC Uganda | International Rescue Committee (IRC) | Medical Teams International | Ministry of Security | United Nations High Commissioner For Refugees | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | International Rescue Committee (IRC) | Medical Teams International | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","Adventist Development & Relief Agency (ADRA) | Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | CARE International | Danish Refugee Council (DRC) | Farm Radio International | Humanity & Inclusion | International Rescue Committee (IRC) | Medical Teams International | Oxfam | Save the Children International | Street Child of Uganda | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","CARE International | Humanity & Inclusion | International Rescue Committee (IRC) | Save the Children International | Street Child of Uganda | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | CARE International | Farm Radio International | United Nations Population Fund (UNFPA) | World Health Organisation","Adventist Development & Relief Agency (ADRA) | Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | International Rescue Committee (IRC) | Oxfam | Street Child of Uganda | UNICEF | United Nations High Commissioner For Refugees","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | BRAC Uganda | Danish Refugee Council (DRC) | Humanity & Inclusion | International Rescue Committee (IRC) | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Danish Refugee Council (DRC) | UNICEF | United Nations High Commissioner For Refugees | World Health Organisation",
"KYENJOJO",3,2,4,2,4,1,3,2,4,2,0,"Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Ministry of Health | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | BRAC Uganda | Ministry of Security | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Farm Radio International","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | BRAC Uganda | UNICEF | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | World Health Organisation",
"NTOROKO",8,7,7,6,9,4,4,4,5,4,0,"Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Care and Assistance For Forced Migrants (CAFOMI) | International Rescue Committee (IRC) | Malteser International | Medical Teams International | Ministry of Health | Tackling Deadly Diseases in Africa Programme (TDDAP) | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Care and Assistance For Forced Migrants (CAFOMI) | International Rescue Committee (IRC) | Malteser International | Medical Teams International | Save the Children International | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Care and Assistance For Forced Migrants (CAFOMI) | International Rescue Committee (IRC) | Malteser International | Medical Teams International | Ministry of Security | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Care and Assistance For Forced Migrants (CAFOMI) | International Rescue Committee (IRC) | Medical Teams International | Save the Children International | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Care and Assistance For Forced Migrants (CAFOMI) | Farm Radio International | International Rescue Committee (IRC) | Malteser International | Medical Teams International | Save the Children International | UNICEF | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Malteser International | Save the Children International | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Care and Assistance For Forced Migrants (CAFOMI) | Farm Radio International | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Care and Assistance For Forced Migrants (CAFOMI) | Farm Radio International | Malteser International","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Care and Assistance For Forced Migrants (CAFOMI) | Malteser International | UNICEF | World Health Organisation","Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) | Care and Assistance For Forced Migrants (CAFOMI) | Malteser International | World Health Organisation",
"ADJUMANI",21,17,13,12,25,11,7,12,19,11,0,"Action Against Hunger | AVSI FOUNDATION | Ayuda en Accion Uganda | CARE International  | Danish Refugee Council (DRC) | Food for the Hungry Association | Infectious diseases institute | International Rescue Committee (IRC) | Jesuit Regufee Service (JRS) | Lutheran World Federation | MapUganda | Medical Teams International | Ministry of Health | Norwegian Refugee Council (NRC) | Self Help Africa | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation | World Vision Uganda","AVSI FOUNDATION | Ayuda en Accion Uganda | CARE International  | Food for the Hungry | Infectious diseases institute | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Lutheran World Federation | Medical Teams International | Save the Children International | Self Help Africa | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","AVSI FOUNDATION | Ayuda en Accion Uganda | BRAC Uganda | Food for the Hungry | Infectious diseases institute | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Lutheran World Federation | Medical Teams International | Ministry of Security | United Nations High Commissioner For Refugees | World Health Organisation","AVSI FOUNDATION | Ayuda en Accion Uganda | Infectious diseases institute | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Lutheran World Federation | Medical Teams International | UNICEF | United Nations High Commissioner For Refugees | Womena Uganda | World Health Organisation","Action Against Hunger | AVSI FOUNDATION | Ayuda en Accion Uganda | BRAC Uganda | CARE International  | Danish Refugee Council (DRC) | Farm Radio International | Food for the Hungry | Food for the Hungry Association | Infectious diseases institute | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Lutheran World Federation | Medical Teams International | Norwegian Refugee Council (NRC) | Save the Children International | Self Help Africa | Tutapona | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation | World Vision Uganda","Ayuda en Accion Uganda | Food for the Hungry Association | Jesuit Regufee Service (JRS) | Lutheran World Federation | Norwegian Refugee Council (NRC) | Tutapona | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","Farm Radio International | Infectious diseases institute | Infectious Diseases Institute | Makerere University | Tutapona | United Nations Population Fund (UNFPA) | World Health Organisation","AVSI FOUNDATION | CARE International  | Farm Radio International | Food for the Hungry | Infectious diseases institute | Lutheran World Federation | Norwegian Refugee Council (NRC) | Self Help Africa | UNICEF | United Nations High Commissioner For Refugees | Womena Uganda | World Vision Uganda","Action Against Hunger | AVSI FOUNDATION | Ayuda en Accion Uganda | BRAC Uganda | CARE International  | Danish Refugee Council (DRC) | Food for the Hungry | Infectious diseases institute | Infectious Diseases Institute | Makerere University | Lutheran World Federation | Mission Aviation Fellowship (MAF) | Norwegian Refugee Council (NRC) | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation | World Vision Uganda","CARE International  | Danish Refugee Council (DRC) | Food for the Hungry | Infectious diseases institute | International Rescue Committee (IRC) | Lutheran World Federation | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation",
"ARUA",16,15,11,12,24,13,7,17,23,10,0,"Amref Health Africa in Uganda | AVSI FOUNDATION | CARE International  | Dan Church Aid (DCA) | Danish Refugee Council (DRC) | Infectious diseases institute | International Rescue Committee (IRC) | MapUganda | Ministry of Health | Norwegian Refugee Council (NRC) | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Welthungerhilfe | World Health Organisation | World Vision Uganda","AVSI FOUNDATION | CARE International  | Cordaid | Infectious diseases institute | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Oxfam | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Welthungerhilfe | World Health Organisation | World Vision Uganda","AVSI FOUNDATION | BRAC Uganda | CARE International  | Cordaid | Infectious diseases institute | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Ministry of Security | United Nations High Commissioner For Refugees | World Health Organisation","Amref Health Africa in Uganda | AVSI FOUNDATION | Danish Refugee Council (DRC) | Infectious diseases institute | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","Amref Health Africa in Uganda | AVSI FOUNDATION | BRAC Uganda | CARE International | CARE International  | Cordaid | Dan Church Aid (DCA) | Danish Refugee Council (DRC) | Farm Radio International | Humanity & Inclusion | Infectious diseases institute | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Norwegian Refugee Council (NRC) | Oxfam | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Welthungerhilfe | World Health Organisation | World Vision Uganda | ZOA","CARE International | CARE International  | Cordaid | Danish Refugee Council (DRC) | Humanity & Inclusion | International Rescue Committee (IRC) | Norwegian Refugee Council (NRC) | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","Danish Refugee Council (DRC) | Farm Radio International | Infectious diseases institute | Infectious Diseases Institute | Makerere University | United Nations Population Fund (UNFPA) | World Health Organisation","AVSI FOUNDATION | CARE International | CARE International  | Cordaid | Danish Refugee Council (DRC) | Farm Radio International | Infectious diseases institute | International Rescue Committee (IRC) | Malteser International | MapUganda | Norwegian Refugee Council (NRC) | Oxfam | UNICEF | United Nations High Commissioner For Refugees | Welthungerhilfe | World Vision Uganda | ZOA","Amref Health Africa in Uganda | AVSI FOUNDATION | BRAC Uganda | CARE International | CARE International  | Cordaid | Dan Church Aid (DCA) | Danish Refugee Council (DRC) | Humanity & Inclusion | Infectious diseases institute | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Malteser International | Mission Aviation Fellowship (MAF) | Norwegian Refugee Council (NRC) | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | Welthungerhilfe | World Health Organisation | World Vision Uganda | ZOA","Cordaid | Danish Refugee Council (DRC) | Infectious diseases institute | International Rescue Committee (IRC) | Malteser International | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation",
